player_name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,rank_1,rank_2,rank_3,top_3,4_5,6_10,11_20,total
Adren,,,,,17,,,,,,,0,0,0,0,0,0,1,1
allu,,,19,,,,,,,,,0,0,0,0,0,0,1,1
apEX,,15,18,,,,,,,,,0,0,0,0,0,0,2,2
autimatic,,,,,,17,,,,,,0,0,0,0,0,0,1,1
Ax1Le,,,,,,,,,5,4,,0,0,0,0,2,0,0,2
b1t,,,,,,,,,9,16,,0,0,0,0,0,1,1,2
blameF,,,,,,,,6,13,12,16,0,0,0,0,0,1,3,4
boltz,,,,,18,,,,,,,0,0,0,0,0,0,1,1
Brehze,,,,,,,8,20,,,,0,0,0,0,0,1,1,2
broky,,,,,,,,,20,6,10,0,0,0,0,0,2,1,3
Brollan,,,,,,,19,15,,,,0,0,0,0,0,0,2,2
byali,,13,,,,,,,,,,0,0,0,0,0,0,1,1
cadiaN,,,,,,,,,,,18,0,0,0,0,0,0,1,1
cajunb,,,15,,,,,,,,,0,0,0,0,0,0,1,1
CeRq,,,,,,,18,,,,,0,0,0,0,0,0,1,1
coldzera,,,,1,1,10,,,,,,2,0,0,2,0,1,0,3
dennis,,,,20,,,,,,,,0,0,0,0,0,0,1,1
dev1ce,,20,3,3,5,2,3,3,11,,11,0,1,4,5,1,0,3,9
Dosia,4,,,,,,,,,,,0,0,0,0,1,0,0,1
dupreeh,18,16,12,,10,5,16,9,,,,0,0,0,0,1,2,4,7
Edward,16,,,,,,,,,,,0,0,0,0,0,0,1,1
electroNic,,,,,,4,6,,7,,,0,0,0,0,1,2,0,3
EliGE,,,,,12,15,4,8,19,,,0,0,0,0,1,1,3,5
Ethan,,,,,,,20,,,,,0,0,0,0,0,0,1,1
f0rest,2,7,16,7,,,,,,,,0,1,0,1,0,2,1,4
FalleN,,,,2,6,,,,,,,0,1,0,1,0,1,0,2
fer,,,,15,3,,,,,,,0,0,1,1,0,0,1,2
flamie,,,14,12,,,,,,,,0,0,0,0,0,0,2,2
