player_name,country,role
Adren,Kazakhstan,Rifle
allu,Finland,AWP
apEX,France,Rifle
autimatic,United States,Rifle
Ax1Le,Russia,Rifle
b1t,Ukraine,Rifle
blameF,Denmark,Rifle
boltz,Brazil,Rifle
Brehze,United States,Rifle
broky,Latvia,AWP
Brollan,Sweden,Rifle
byali,Poland,Rifle
cadiaN,Denmark,AWP
cajunb,Denmark,Rifle
CeRq,Bulgaria,AWP
coldzera,Brazil,Hybrid
dennis,Sweden,Rifle
dev1ce,Denmark,AWP
Dosia,Russia,Rifle
dupreeh,Denmark,Rifle
Edward,Ukraine,Rifle
electroNic,Russia,Rifle
EliGE,United States,Rifle
Ethan,United States,Rifle
f0rest,Sweden,Rifle
FalleN,Brazil,AWP
fer,Brazil,Rifle
flamie,Russia,Rifle
flusha,Sweden,Rifle
fnx,Brazil,Rifle
friberg,Sweden,Rifle
frozen,Slovakia,Rifle
GeT_RiGhT,Sweden,Rifle
gla1ve,Denmark,Rifle
GuardiaN,Slovakia,AWP
Happy,France,Rifle
HEN1,Brazil,AWP
Hiko,United States,Rifle
Hobbit,Kazakhstan,Rifle
huNter-,Bosnia and Herzegovina,Rifle
jabbi,Denmark,Rifle
Jame,Russia,AWP
jks,Australia,Rifle
JW,Sweden,AWP
k0nfig,Denmark,Rifle
kennyS,France,AWP
kioShiMa,France,Rifle
Kjaerbye,Denmark,Rifle
KRIMZ,Sweden,Rifle
KSCERATO,Brazil,Rifle
m0NESY,Russia,AWP
Magisk,Denmark,Rifle
markeloff,Ukraine,Hybrid
NAF,Canada,Rifle
NBK,France,Rifle
NEO,Poland,Rifle
NertZ,Israel,Rifle
Nico,Denmark,AWP
Niko,Bosnia and Herzegovina,Rifle
olofmeister,Sweden,Rifle
oskar,Czech Republic,AWP
pashaBiceps,Poland,Rifle
rain,Norway,Rifle
Ropz,Estonia,Rifle
s1mple,Ukraine,AWP
ScreaM,Belgium,Rifle
sergej,Finland,Rifle
sh1ro,Russia,AWP
shox,France,Rifle
Skadoodle,United States,AWP
SmithZz,France,Rifle
Snax,Poland,Rifle
Spinx,Israel,Rifle
stavn,Denmark,Rifle
suNny,Finland,Rifle
SunPayus,Spain,AWP
swag,United States,Rifle
syrson,Germany,Rifle
Twistzz,Canada,Rifle
valde,Denmark,Rifle
woxic,Turkey,AWP
Xist,Sweden,Rifle
Xyp9x,Denmark,Rifle
YEKINDAR,Latvia,Rifle
yuurih,Brazil,Rifle
Zywoo,France,AWP
